execution_index,run_id,pair_id,pair_order,order_in_pair,claim_id,claim_title,claim_text,domain,replicate,condition,enable_causality
53,A3_R1_B_0053,A3_R1,BA,1,A3,Ritardo procedimentale e conseguenze patrimoniali,"Un professionista presenta domanda autorizzativa; il termine procedimentale decorre senza esito né comunicazioni utili. Il ritardo provoca perdita di incarichi e costi ulteriori documentati. Si chiede di valutare obblighi temporali dell’amministrazione, rilevanza del ritardo e conseguenze sul piano dell’indennizzo/risarcibilità nei limiti della legge sul procedimento.",AMMINISTRATIVO,1,B,true
54,A3_R1_A_0054,A3_R1,BA,2,A3,Ritardo procedimentale e conseguenze patrimoniali,"Un professionista presenta domanda autorizzativa; il termine procedimentale decorre senza esito né comunicazioni utili. Il ritardo provoca perdita di incarichi e costi ulteriori documentati. Si chiede di valutare obblighi temporali dell’amministrazione, rilevanza del ritardo e conseguenze sul piano dell’indennizzo/risarcibilità nei limiti della legge sul procedimento.",AMMINISTRATIVO,1,A,false
55,A5_R1_B_0055,A5_R1,BA,1,A5,Revoca per sopravvenuti motivi e indennizzo,"Un ente revoca un precedente atto favorevole per sopravvenuta riorganizzazione del servizio, imponendo cessazione immediata dell’attività autorizzata. Il destinatario aveva già sostenuto investimenti non recuperabili. Si chiede di valutare legittimità della revoca e condizioni per l’eventuale indennizzo del pregiudizio subito.",AMMINISTRATIVO,1,B,true
56,A5_R1_A_0056,A5_R1,BA,2,A5,Revoca per sopravvenuti motivi e indennizzo,"Un ente revoca un precedente atto favorevole per sopravvenuta riorganizzazione del servizio, imponendo cessazione immediata dell’attività autorizzata. Il destinatario aveva già sostenuto investimenti non recuperabili. Si chiede di valutare legittimità della revoca e condizioni per l’eventuale indennizzo del pregiudizio subito.",AMMINISTRATIVO,1,A,false
57,A3_R2_B_0057,A3_R2,BA,1,A3,Ritardo procedimentale e conseguenze patrimoniali,"Un professionista presenta domanda autorizzativa; il termine procedimentale decorre senza esito né comunicazioni utili. Il ritardo provoca perdita di incarichi e costi ulteriori documentati. Si chiede di valutare obblighi temporali dell’amministrazione, rilevanza del ritardo e conseguenze sul piano dell’indennizzo/risarcibilità nei limiti della legge sul procedimento.",AMMINISTRATIVO,2,B,true
58,A3_R2_A_0058,A3_R2,BA,2,A3,Ritardo procedimentale e conseguenze patrimoniali,"Un professionista presenta domanda autorizzativa; il termine procedimentale decorre senza esito né comunicazioni utili. Il ritardo provoca perdita di incarichi e costi ulteriori documentati. Si chiede di valutare obblighi temporali dell’amministrazione, rilevanza del ritardo e conseguenze sul piano dell’indennizzo/risarcibilità nei limiti della legge sul procedimento.",AMMINISTRATIVO,2,A,false
59,A4_R2_B_0059,A4_R2,BA,1,A4,Annullamento d’ufficio tardivo e affidamento,"Una società ottiene titolo favorevole, avvia i lavori e sostiene costi rilevanti. Dopo oltre due anni, l’amministrazione annulla in autotutela con motivazione generica, senza specifica valutazione dell’interesse pubblico attuale e dell’affidamento maturato. Si chiede di verificare i presupposti e i limiti dell’annullamento d’ufficio tardivo.",AMMINISTRATIVO,2,B,true
60,A4_R2_A_0060,A4_R2,BA,2,A4,Annullamento d’ufficio tardivo e affidamento,"Una società ottiene titolo favorevole, avvia i lavori e sostiene costi rilevanti. Dopo oltre due anni, l’amministrazione annulla in autotutela con motivazione generica, senza specifica valutazione dell’interesse pubblico attuale e dell’affidamento maturato. Si chiede di verificare i presupposti e i limiti dell’annullamento d’ufficio tardivo.",AMMINISTRATIVO,2,A,false
61,A5_R2_B_0061,A5_R2,BA,1,A5,Revoca per sopravvenuti motivi e indennizzo,"Un ente revoca un precedente atto favorevole per sopravvenuta riorganizzazione del servizio, imponendo cessazione immediata dell’attività autorizzata. Il destinatario aveva già sostenuto investimenti non recuperabili. Si chiede di valutare legittimità della revoca e condizioni per l’eventuale indennizzo del pregiudizio subito.",AMMINISTRATIVO,2,B,true
62,A5_R2_A_0062,A5_R2,BA,2,A5,Revoca per sopravvenuti motivi e indennizzo,"Un ente revoca un precedente atto favorevole per sopravvenuta riorganizzazione del servizio, imponendo cessazione immediata dell’attività autorizzata. Il destinatario aveva già sostenuto investimenti non recuperabili. Si chiede di valutare legittimità della revoca e condizioni per l’eventuale indennizzo del pregiudizio subito.",AMMINISTRATIVO,2,A,false
63,A2_R2_A_0063,A2_R2,AB,1,A2,Preavviso di rigetto e motivazione insufficiente,Un’impresa presenta istanza per contributo pubblico con documentazione completa. L’amministrazione rigetta con formula generica (“carenza requisiti”) senza preavviso di rigetto e senza indicare specificamente i profili ostativi. L’impresa deduce che avrebbe potuto chiarire i punti contestati. Si chiede di verificare correttezza procedimentale e adeguatezza della motivazione.,AMMINISTRATIVO,2,A,false
64,A2_R2_B_0064,A2_R2,AB,2,A2,Preavviso di rigetto e motivazione insufficiente,Un’impresa presenta istanza per contributo pubblico con documentazione completa. L’amministrazione rigetta con formula generica (“carenza requisiti”) senza preavviso di rigetto e senza indicare specificamente i profili ostativi. L’impresa deduce che avrebbe potuto chiarire i punti contestati. Si chiede di verificare correttezza procedimentale e adeguatezza della motivazione.,AMMINISTRATIVO,2,B,true
65,A2_R1_A_0065,A2_R1,AB,1,A2,Preavviso di rigetto e motivazione insufficiente,Un’impresa presenta istanza per contributo pubblico con documentazione completa. L’amministrazione rigetta con formula generica (“carenza requisiti”) senza preavviso di rigetto e senza indicare specificamente i profili ostativi. L’impresa deduce che avrebbe potuto chiarire i punti contestati. Si chiede di verificare correttezza procedimentale e adeguatezza della motivazione.,AMMINISTRATIVO,1,A,false
66,A2_R1_B_0066,A2_R1,AB,2,A2,Preavviso di rigetto e motivazione insufficiente,Un’impresa presenta istanza per contributo pubblico con documentazione completa. L’amministrazione rigetta con formula generica (“carenza requisiti”) senza preavviso di rigetto e senza indicare specificamente i profili ostativi. L’impresa deduce che avrebbe potuto chiarire i punti contestati. Si chiede di verificare correttezza procedimentale e adeguatezza della motivazione.,AMMINISTRATIVO,1,B,true
67,A1_R2_A_0067,A1_R2,AB,1,A1,Omissione comunicazione di avvio e partecipazione procedimentale,"Un Comune avvia un procedimento di revoca di un’autorizzazione commerciale senza comunicazione di avvio. Il destinatario sostiene che, se avesse partecipato, avrebbe prodotto documenti decisivi su fatti controversi. L’amministrazione replica che il provvedimento era vincolato. Si chiede di valutare la rilevanza dell’omissione partecipativa e l’impatto sul risultato del procedimento.",AMMINISTRATIVO,2,A,false
68,A1_R2_B_0068,A1_R2,AB,2,A1,Omissione comunicazione di avvio e partecipazione procedimentale,"Un Comune avvia un procedimento di revoca di un’autorizzazione commerciale senza comunicazione di avvio. Il destinatario sostiene che, se avesse partecipato, avrebbe prodotto documenti decisivi su fatti controversi. L’amministrazione replica che il provvedimento era vincolato. Si chiede di valutare la rilevanza dell’omissione partecipativa e l’impatto sul risultato del procedimento.",AMMINISTRATIVO,2,B,true
69,A6_R1_A_0069,A6_R1,AB,1,A6,Inerzia amministrativa e potere sostitutivo,"Un’impresa presenta istanza autorizzativa completa, ma decorso il termine legale non riceve alcun provvedimento espresso né comunicazioni istruttorie. Dopo vari solleciti, l’amministrazione resta inerte e il ritardo impedisce l’avvio dell’attività programmata. Si chiede di verificare gli obblighi di conclusione del procedimento, il ruolo del potere sostitutivo interno e le conseguenze patrimoniali del ritardo.",AMMINISTRATIVO,1,A,false
70,A6_R1_B_0070,A6_R1,AB,2,A6,Inerzia amministrativa e potere sostitutivo,"Un’impresa presenta istanza autorizzativa completa, ma decorso il termine legale non riceve alcun provvedimento espresso né comunicazioni istruttorie. Dopo vari solleciti, l’amministrazione resta inerte e il ritardo impedisce l’avvio dell’attività programmata. Si chiede di verificare gli obblighi di conclusione del procedimento, il ruolo del potere sostitutivo interno e le conseguenze patrimoniali del ritardo.",AMMINISTRATIVO,1,B,true
71,A6_R2_B_0071,A6_R2,BA,1,A6,Inerzia amministrativa e potere sostitutivo,"Un’impresa presenta istanza autorizzativa completa, ma decorso il termine legale non riceve alcun provvedimento espresso né comunicazioni istruttorie. Dopo vari solleciti, l’amministrazione resta inerte e il ritardo impedisce l’avvio dell’attività programmata. Si chiede di verificare gli obblighi di conclusione del procedimento, il ruolo del potere sostitutivo interno e le conseguenze patrimoniali del ritardo.",AMMINISTRATIVO,2,B,true
72,A6_R2_A_0072,A6_R2,BA,2,A6,Inerzia amministrativa e potere sostitutivo,"Un’impresa presenta istanza autorizzativa completa, ma decorso il termine legale non riceve alcun provvedimento espresso né comunicazioni istruttorie. Dopo vari solleciti, l’amministrazione resta inerte e il ritardo impedisce l’avvio dell’attività programmata. Si chiede di verificare gli obblighi di conclusione del procedimento, il ruolo del potere sostitutivo interno e le conseguenze patrimoniali del ritardo.",AMMINISTRATIVO,2,A,false
