numero,titolo,contenuto
17-bis,Silenzio assenso tra amministrazioni pubbliche e tra amministrazioni pubbliche,"e gestori di beni o servizi pubblici
(articolo introdotto dall'art. 3 della legge n. 124 del 2015)
1. Nei casi in cui è prevista l'acquisizione di assensi, concerti o nulla osta comunque denominati di
amministrazioni pubbliche e di gestori di beni o servizi pubblici, per l'adozione di provvedimenti normativi e
amministrativi di competenza di altre amministrazioni pubbliche, le amministrazioni o i gestori competenti
comunicano il proprio assenso, concerto o nulla osta entro trenta giorni dal ricevimento dello schema di
provvedimento, corredato della relativa documentazione, da parte dell'amministrazione procedente. Il
termine è interrotto qualora l'amministrazione o il gestore che deve rendere il proprio assenso, concerto o
nulla osta rappresenti esigenze istruttorie o richieste di modifica, motivate e formulate in modo puntuale
nel termine stesso. In tal caso, l'assenso, il concerto o il nulla osta è reso nei successivi trenta giorni dalla
ricezione degli elementi istruttori o dello schema di provvedimento; non sono ammesse ulteriori
interruzioni di termini.
2. Decorsi i termini di cui al comma 1 senza che sia stato comunicato l'assenso, il concerto o il nulla osta, lo
stesso si intende acquisito. In caso di mancato accordo tra le amministrazioni statali coinvolte nei
procedimenti di cui al comma 1, il Presidente del Consiglio dei ministri, previa deliberazione del Consiglio
dei ministri, decide sulle modifiche da apportare allo schema di provvedimento.
3. Le disposizioni dei commi 1 e 2 si applicano anche ai casi in cui è prevista l'acquisizione di assensi,
concerti o nulla osta comunque denominati di amministrazioni preposte alla tutela ambientale,
paesaggistico-territoriale, dei beni culturali e della salute dei cittadini, per l'adozione di provvedimenti
normativi e amministrativi di competenza di amministrazioni pubbliche. In tali casi, ove disposizioni di legge
o i provvedimenti di cui all'articolo 2 non prevedano un termine diverso, il termine entro il quale le
amministrazioni competenti comunicano il proprio assenso, concerto o nulla osta è di novanta giorni dal
ricevimento della richiesta da parte dell'amministrazione procedente. Decorsi i suddetti termini senza che
sia stato comunicato l'assenso, il concerto o il nulla osta, lo stesso si intende acquisito.
4. Le disposizioni del presente articolo non si applicano nei casi in cui disposizioni del diritto dell'Unione
europea richiedano l'adozione di provvedimenti espressi."
18,Autocertificazione,"1. Entro sei mesi dalla data di entrata in vigore della presente legge le amministrazioni interessate adottano
le misure organizzative idonee a garantire l’applicazione delle disposizioni in materia di autocertificazione e
di presentazione di atti e documenti da parte di cittadini a pubbliche amministrazioni di cui alla legge 4
gennaio 1968, n. 15, e successive modificazioni e integrazioni. Delle misure adottate le amministrazioni
danno comunicazione alla Commissione di cui all’articolo 27.
2. I documenti attestanti atti, fatti, qualità e stati soggettivi, necessari per l'istruttoria del procedimento,
sono acquisiti d'ufficio quando sono in possesso dell'amministrazione procedente, ovvero sono detenuti,
istituzionalmente, da altre pubbliche amministrazioni. L'amministrazione procedente può richiedere agli
interessati i soli elementi necessari per la ricerca dei documenti.
(comma così sostituito dall'art. 3, comma 6-octies, legge n. 80 del 2005)
3. Parimenti sono accertati d’ufficio dal responsabile del procedimento i fatti, gli stati e le qualità che la
stessa amministrazione procedente o altra pubblica amministrazione è tenuta a certificare."
19,Segnalazione certificata di inizio attività - SCIA,"(articolo così sostituito dall'art. 49, comma 4-bis, legge n. 122 del 2010)
(per l'interpretazione si veda l'art. 5, comma 2, legge n. 106 del 2011)
1. Ogni atto di autorizzazione, licenza, concessione non costitutiva, permesso o nulla osta comunque
denominato, comprese le domande per le iscrizioni in albi o ruoli richieste per l’esercizio di attività
imprenditoriale, commerciale o artigianale il cui rilascio dipenda esclusivamente dall’accertamento di
requisiti e presupposti richiesti dalla legge o da atti amministrativi a contenuto generale, e non sia previsto
alcun limite o contingente complessivo o specifici strumenti di programmazione settoriale per il rilascio
degli atti stessi, è sostituito da una segnalazione dell’interessato, con la sola esclusione dei casi in cui
sussistano vincoli ambientali, paesaggistici o culturali e degli atti rilasciati dalle amministrazioni preposte
alla difesa nazionale, alla pubblica sicurezza, all’immigrazione, all’asilo, alla cittadinanza,
all’amministrazione della giustizia, all’amministrazione delle finanze, ivi compresi gli atti concernenti le reti
di acquisizione del gettito, anche derivante dal gioco, nonché di quelli previsti dalla normativa per le
costruzioni in zone sismiche e di quelli imposti dalla normativa comunitaria. La segnalazione è corredata
dalle dichiarazioni sostitutive di certificazioni e dell’atto di notorietà per quanto riguarda tutti gli stati, le
qualità personali e i fatti previsti negli articoli 46 e 47 del testo unico di cui al d.P.R. 28 dicembre 2000, n.
445, nonché, ove espressamente previsto dalla normativa vigente, dalle attestazioni e asseverazioni di
tecnici abilitati, ovvero dalle dichiarazioni di conformità da parte dell’Agenzia delle imprese di cui
all’articolo 38, comma 4, del decreto-legge 25 giugno 2008, n. 112, convertito, con modificazioni, dalla
legge 6 agosto 2008, n. 133, relative alla sussistenza dei requisiti e dei presupposti di cui al primo periodo;
tali attestazioni e asseverazioni sono corredate dagli elaborati tecnici necessari per consentire le verifiche di
competenza dell’amministrazione. Nei casi in cui la normativa vigente prevede l'acquisizione di atti o pareri
di organi o enti appositi, ovvero l'esecuzione di verifiche preventive, essi sono comunque sostituiti dalle
autocertificazioni, attestazioni e asseverazioni o certificazioni di cui al presente comma, salve le verifiche
successive degli organi e delle amministrazioni competenti. La segnalazione, corredata delle dichiarazioni,
attestazioni e asseverazioni nonché dei relativi elaborati tecnici, può essere presentata a mezzo posta con
raccomandata con avviso di ricevimento, ad eccezione dei procedimenti per cui è previsto l’utilizzo
esclusivo della modalità telematica; in tal caso la segnalazione si considera presentata al momento della
ricezione da parte dell'amministrazione.
(comma modificato dall'art. 5, comma 2, lettera b), legge n. 106 del 2011, poi dall'art. 2, comma 1, legge n.
35 del 2012, poi dall'art. 13, comma 1, legge n. 134 del 2012)
2. L’attività oggetto della segnalazione può essere iniziata dalla data della presentazione della segnalazione
all’amministrazione competente.
3. L'amministrazione competente, in caso di accertata carenza dei requisiti e dei presupposti di cui al
comma 1, nel termine di sessanta giorni dal ricevimento della segnalazione di cui al medesimo comma,
adotta motivati provvedimenti di divieto di prosecuzione dell'attività e di rimozione degli eventuali effetti
dannosi di essa. Qualora sia possibile conformare l'attività intrapresa e i suoi effetti alla normativa vigente,
l'amministrazione competente, con atto motivato, invita il privato a provvedere, disponendo la sospensione
dell'attività intrapresa e prescrivendo le misure necessarie con la fissazione di un termine non inferiore a
trenta giorni per l'adozione di queste ultime. In difetto di adozione delle misure stesse, decorso il suddetto
termine, l'attività si intende vietata.
(comma così sostituito dall'art. 6, comma 1, legge n. 124 del 2015)
4. Decorso il termine per l'adozione dei provvedimenti di cui al comma 3, primo periodo, ovvero di cui al
comma 6-bis, l'amministrazione competente adotta comunque i provvedimenti previsti dal medesimo
comma 3 in presenza delle condizioni previste dall'articolo 21-nonies.
(comma così sostituito dall'art. 6, comma 1, legge n. 124 del 2015)
4-bis. Il presente articolo non si applica alle attività economiche a prevalente carattere finanziario, ivi
comprese quelle regolate dal testo unico delle leggi in materia bancaria e creditizia di cui al decreto
legislativo 1° settembre 1993, n. 385, e dal testo unico in materia di intermediazione finanziaria di cui al
decreto legislativo 24 febbraio 1998, n. 58.
(comma introdotto dall'art. 2, comma 1-quinquies, legge n. 163 del 2010)
5. (comma abrogato dal n. 14 del comma 1 dell'art. 4 dell'allegato 4 al d.lgs. n. 104 del 2010)
6. Ove il fatto non costituisca più grave reato, chiunque, nelle dichiarazioni o attestazioni o asseverazioni
che corredano la segnalazione di inizio attività, dichiara o attesta falsamente l’esistenza dei requisiti o dei
presupposti di cui al comma 1 è punito con la reclusione da uno a tre anni
6-bis. Nei casi di Scia in materia edilizia, il termine di sessanta giorni di cui al primo periodo del comma 3 è
ridotto a trenta giorni. Fatta salva l'applicazione delle disposizioni di cui al comma 4 e al comma 6, restano
altresì ferme le disposizioni relative alla vigilanza sull'attività urbanistico-edilizia, alle responsabilità e alle
sanzioni previste dal d.P.R. 6 giugno 2001, n. 380, e dalle leggi regionali.
(comma aggiunto dall'art. 5, comma 2, legge n. 106 del 2011, poi così modificato dall'art. 6, comma 1,
decreto-legge n. 138 del 2011, convertito dalla legge n. 148 del 2011)
6-ter. La segnalazione certificata di inizio attività, la denuncia e la dichiarazione di inizio attività non
costituiscono provvedimenti taciti direttamente impugnabili. Gli interessati possono sollecitare l'esercizio
delle verifiche spettanti all'amministrazione e, in caso di inerzia, esperire esclusivamente l'azione di cui
all'articolo 31, commi 1, 2 e 3 del decreto legislativo 2 luglio 2010, n. 104.
(comma aggiunto dall'art. 6, comma 1, decreto-legge n. 138 del 2011, convertito dalla legge n. 148 del
2011)"
20,Silenzio assenso,"(articolo così sostituito dall'art. 3, comma 6-ter, legge n. 80 del 2005)
1. Fatta salva l'applicazione dell'articolo 19, nei procedimenti ad istanza di parte per il rilascio di
provvedimenti amministrativi il silenzio dell'amministrazione competente equivale a provvedimento di
accoglimento della domanda, senza necessità di ulteriori istanze o diffide, se la medesima amministrazione
non comunica all'interessato, nel termine di cui all'articolo 2, commi 2 o 3, il provvedimento di diniego,
ovvero non procede ai sensi del comma 2.
2. L'amministrazione competente può indire, entro trenta giorni dalla presentazione dell'istanza di cui al
comma 1, una conferenza di servizi ai sensi del capo IV, anche tenendo conto delle situazioni giuridiche
soggettive dei controinteressati.
3. Nei casi in cui il silenzio dell'amministrazione equivale ad accoglimento della domanda, l'amministrazione
competente può assumere determinazioni in via di autotutela, ai sensi degli articoli 21-quinquies e 21-
nonies.
4. Le disposizioni del presente articolo non si applicano agli atti e procedimenti riguardanti il patrimonio
culturale e paesaggistico, l'ambiente, la difesa nazionale, la pubblica sicurezza e l'immigrazione,
l’immigrazione, l’asilo e la cittadinanza, la salute e la pubblica incolumità, ai casi in cui la normativa
comunitaria impone l'adozione di provvedimenti amministrativi formali, ai casi in cui la legge qualifica il
silenzio dell'amministrazione come rigetto dell'istanza, nonché agli atti e procedimenti individuati con uno
o più decreti del Presidente del Consiglio dei ministri, su proposta del Ministro per la funzione pubblica, di
concerto con i Ministri competenti.
(comma così modificato dall'art. 9, comma 3, legge n. 69 del 2009)
5. Si applicano gli articoli 2, comma 7, e 10-bis.
(comma così modificato dall'art. 7, comma 1, legge n. 69 del 2009)
5-bis. Ogni controversia relativa all'applicazione del presente articolo è devoluta alla giurisdizione esclusiva
del giudice amministrativo.
(comma introdotto dall'art. 2, comma 1-sexies, della legge n. 163 del 2010)"
21,Disposizioni sanzionatorie,"1. Con la segnalazione o con la domanda di cui agli articoli 19 e 20 l’interessato deve dichiarare la
sussistenza dei presupposti e dei requisiti di legge richiesti. In caso di dichiarazioni mendaci o di false
attestazioni non è ammessa la conformazione dell’attività e dei suoi effetti a legge o la sanatoria prevista
dagli articoli medesimi ed il dichiarante è punito con la sanzione prevista dall’articolo 483 del codice penale,
salvo che il fatto costituisca più grave reato.
(comma così modificato dall'art. 6, comma 1, legge n. 124 del 2015)
2. (comma abrogato dall'art. 6, comma 1, legge n. 124 del 2015)
2-bis. Restano ferme le attribuzioni di vigilanza, prevenzione e controllo su attività soggette ad atti di
assenso da parte di pubbliche amministrazioni previste da leggi vigenti, anche se è stato dato inizio
all'attività ai sensi degli articoli 19 e 20.
(comma aggiunto dall'art. 3, comma 6-nonies, legge n. 80 del 2005)
CAPO IV-bis - EFFICACIA ED INVALIDITÀ DEL PROVVEDIMENTO AMMINISTRATIVO. REVOCA E RECESSO
(capo introdotto dall'art. 14 della legge n. 15 del 2005)"
21-bis,Efficacia del provvedimento limitativo della sfera giuridica dei privati,"1. Il provvedimento limitativo della sfera giuridica dei privati acquista efficacia nei confronti di ciascun
destinatario con la comunicazione allo stesso effettuata anche nelle forme stabilite per la notifica agli
irreperibili nei casi previsti dal codice di procedura civile. Qualora per il numero dei destinatari la
comunicazione personale non sia possibile o risulti particolarmente gravosa, l'amministrazione provvede
mediante forme di pubblicità idonee di volta in volta stabilite dall'amministrazione medesima. Il
provvedimento limitativo della sfera giuridica dei privati non avente carattere sanzionatorio può contenere
una motivata clausola di immediata efficacia. I provvedimenti limitativi della sfera giuridica dei privati
aventi carattere cautelare ed urgente sono immediatamente efficaci."
21-ter,Esecutorietà,"1. Nei casi e con le modalità stabiliti dalla legge, le pubbliche amministrazioni possono imporre
coattivamente l'adempimento degli obblighi nei loro confronti. Il provvedimento costitutivo di obblighi
indica il termine e le modalità dell'esecuzione da parte del soggetto obbligato. Qualora l'interessato non
ottemperi, le pubbliche amministrazioni, previa diffida, possono provvedere all'esecuzione coattiva nelle
ipotesi e secondo le modalità previste dalla legge.
2. Ai fini dell'esecuzione delle obbligazioni aventi ad oggetto somme di denaro si applicano le disposizioni
per l'esecuzione coattiva dei crediti dello Stato."
21-quater,Efficacia ed esecutività del provvedimento,"1. I provvedimenti amministrativi efficaci sono eseguiti immediatamente, salvo che sia diversamente
stabilito dalla legge o dal provvedimento medesimo.
2. L'efficacia ovvero l'esecuzione del provvedimento amministrativo può essere sospesa, per gravi ragioni e
per il tempo strettamente necessario, dallo stesso organo che lo ha emanato ovvero da altro organo
previsto dalla legge. Il termine della sospensione è esplicitamente indicato nell'atto che la dispone e può
essere prorogato o differito per una sola volta, nonché ridotto per sopravvenute esigenze. La sospensione
non può comunque essere disposta o perdurare oltre i termini per l'esercizio del potere di annullamento di
cui all'articolo 21-nonies.
(comma così modificato dall'art. 6, comma 1, legge n. 124 del 2015)"
21-quinquies,Revoca del provvedimento,"1. Per sopravvenuti motivi di pubblico interesse ovvero nel caso di mutamento della situazione di fatto non
prevedibile al momento dell'adozione del provvedimento o, salvo che per i provvedimenti di autorizzazione
o di attribuzione di vantaggi economici, di nuova valutazione dell'interesse pubblico originario, il
provvedimento amministrativo ad efficacia durevole può essere revocato da parte dell'organo che lo ha
emanato ovvero da altro organo previsto dalla legge. La revoca determina la inidoneità del provvedimento
revocato a produrre ulteriori effetti. Se la revoca comporta pregiudizi in danno dei soggetti direttamente
interessati, l'amministrazione ha l'obbligo di provvedere al loro indennizzo.
(comma modificato dall'Allegato 4, articolo 4, del d.lgs. n. 104 del 2010, poi così modificato dall'art. 25,
comma 1, lettera b-ter), legge n. 164 del 2014)
1-bis. Ove la revoca di un atto amministrativo ad efficacia durevole o istantanea incida su rapporti negoziali,
l'indennizzo liquidato dall'amministrazione agli interessati è parametrato al solo danno emergente e tiene
conto sia dell'eventuale conoscenza o conoscibilità da parte dei contraenti della contrarietà dell'atto
amministrativo oggetto di revoca all'interesse pubblico, sia dell'eventuale concorso dei contraenti o di altri
soggetti all'erronea valutazione della compatibilità di tale atto con l'interesse pubblico.
(comma aggiunto dall'art. 12, comma 4, del decreto-legge n. 7 del 2007, soppresso dalla legge di
conversione n. 40 del 2007, reintrodotto dall'art. 13, comma 8-duodeviecies dello stesso decreto-legge n. 7
del 2007, aggiunto dalla citata legge di conversione n. 40 del 2007)
1-ter. (comma, identico al comma 1-bis, aggiunto dall'art. 12, comma 1-bis, legge n. 133 del 2008, poi
abrogato dall'allegato A alla legge n. 35 del 2012)"
21-sexies,Recesso dai contratti,"1. Il recesso unilaterale dai contratti della pubblica amministrazione è ammesso nei casi previsti dalla legge
o dal contratto."
21-septies,Nullità del provvedimento,"1. È nullo il provvedimento amministrativo che manca degli elementi essenziali, che è viziato da difetto
assoluto di attribuzione, che è stato adottato in violazione o elusione del giudicato, nonché negli altri casi
espressamente previsti dalla legge.
2. (comma abrogato dall'Allegato 4, articolo 4, del d.lgs. n. 104 del 2010)"
21-octies,Annullabilità del provvedimento,"1. È annullabile il provvedimento amministrativo adottato in violazione di legge o viziato da eccesso di
potere o da incompetenza.
2. Non è annullabile il provvedimento adottato in violazione di norme sul procedimento o sulla forma degli
atti qualora, per la natura vincolata del provvedimento, sia palese che il suo contenuto dispositivo non
avrebbe potuto essere diverso da quello in concreto adottato. Il provvedimento amministrativo non è
comunque annullabile per mancata comunicazione dell'avvio del procedimento qualora l'amministrazione
dimostri in giudizio che il contenuto del provvedimento non avrebbe potuto essere diverso da quello in
concreto adottato."
21-nonies,Annullamento d'ufficio,"(si veda anche l'articolo 1, comma 136, della legge n. 311 del 2004)
1. Il provvedimento amministrativo illegittimo ai sensi dell'articolo 21-octies, esclusi i casi di cui al
medesimo articolo 21-octies, comma 2, può essere annullato d'ufficio, sussistendone le ragioni di interesse
pubblico, entro un termine ragionevole, comunque non superiore a diciotto mesi dal momento
dell'adozione dei provvedimenti di autorizzazione o di attribuzione di vantaggi economici, inclusi i casi in cui
il provvedimento si sia formato ai sensi dell'articolo 20, e tenendo conto degli interessi dei destinatari e dei
controinteressati, dall'organo che lo ha emanato, ovvero da altro organo previsto dalla legge. Rimangono
ferme le responsabilità connesse all'adozione e al mancato annullamento del provvedimento illegittimo.
(comma modificato dall'art. 25, comma 1, lettera b-quater), legge n. 164 del 2014, poi dall'art. 6, comma 1,
legge n. 124 del 2015)
2. È fatta salva la possibilità di convalida del provvedimento annullabile, sussistendone le ragioni di
interesse pubblico ed entro un termine ragionevole.
2-bis. I provvedimenti amministrativi conseguiti sulla base di false rappresentazioni dei fatti o di
dichiarazioni sostitutive di certificazione e dell'atto di notorietà false o mendaci per effetto di condotte
costituenti reato, accertate con sentenza passata in giudicato, possono essere annullati
dall'amministrazione anche dopo la scadenza del termine di diciotto mesi di cui al comma 1, fatta salva
l'applicazione delle sanzioni penali nonché delle sanzioni previste dal capo VI del testo unico di cui al d.P.R.
28 dicembre 2000, n. 445.
(comma aggiunto dall'art. 6, comma 1, legge n. 124 del 2015)
CAPO V ACCESSO AI DOCUMENTI AMMINISTRATIVI"
22,Definizioni e princípi in materia di accesso,"(articolo così sostituito dall'art. 15 della legge n. 15 del 2005)
1. Ai fini del presente capo si intende:
a) per ""diritto di accesso"", il diritto degli interessati di prendere visione e di estrarre copia di documenti
amministrativi;
b) per ""interessati"", tutti i soggetti privati, compresi quelli portatori di interessi pubblici o diffusi, che
abbiano un interesse diretto, concreto e attuale, corrispondente ad una situazione giuridicamente tutelata
e collegata al documento al quale è chiesto l'accesso;
c) per ""controinteressati"", tutti i soggetti, individuati o facilmente individuabili in base alla natura del
documento richiesto, che dall'esercizio dell'accesso vedrebbero compromesso il loro diritto alla
riservatezza;
d) per ""documento amministrativo"", ogni rappresentazione grafica, fotocinematografica, elettromagnetica
o di qualunque altra specie del contenuto di atti, anche interni o non relativi ad uno specifico
procedimento, detenuti da una pubblica amministrazione e concernenti attività di pubblico interesse,
indipendentemente dalla natura pubblicistica o privatistica della loro disciplina sostanziale;
e) per ""pubblica amministrazione"", tutti i soggetti di diritto pubblico e i soggetti di diritto privato
limitatamente alla loro attività di pubblico interesse disciplinata dal diritto nazionale o comunitario.
2. L’accesso ai documenti amministrativi, attese le sue rilevanti finalità di pubblico interesse, costituisce
principio generale dell’attività amministrativa al fine di favorire la partecipazione e di assicurarne
l’imparzialità e la trasparenza.
(comma così sostituito dall'art. 10, comma 1, legge n. 69 del 2009)
3. Tutti i documenti amministrativi sono accessibili, ad eccezione di quelli indicati all'articolo 24, commi 1,
2, 3, 5 e 6.
4. Non sono accessibili le informazioni in possesso di una pubblica amministrazione che non abbiano forma
di documento amministrativo, salvo quanto previsto dal decreto legislativo 30 giugno 2003, n. 196, in
materia di accesso a dati personali da parte della persona cui i dati si riferiscono.
5. L'acquisizione di documenti amministrativi da parte di soggetti pubblici, ove non rientrante nella
previsione dell'articolo 43, comma 2, del testo unico delle disposizioni legislative e regolamentari in materia
di documentazione amministrativa, di cui al d.P.R. 28 dicembre 2000, n. 445, si informa al principio di leale
cooperazione istituzionale.
6. Il diritto di accesso è esercitabile fino a quando la pubblica amministrazione ha l'obbligo di detenere i
documenti amministrativi ai quali si chiede di accedere"
23,Ambito di applicazione del diritto di accesso,"(articolo così sostituito dall'art. 4, comma 2, legge n. 265 del 1999)
1. Il diritto di accesso di cui all’articolo 22 si esercita nei confronti delle amministrazioni , delle aziende
autonome e speciali, degli enti pubblici e dei gestori di pubblici servizi. Il diritto di accesso nei confronti
delle Autorità di garanzia e di vigilanza si esercita nell'ambito dei rispettivi ordinamenti, secondo quanto
previsto dall'articolo 24."
24,Esclusione dal diritto di accesso,"(articolo così sostituito dall'art. 16 della legge n. 15 del 2005)
1. Il diritto di accesso è escluso:
a) per i documenti coperti da segreto di Stato ai sensi della legge 24 ottobre 1977, n. 801, e successive
modificazioni, e nei casi di segreto o di divieto di divulgazione espressamente previsti dalla legge, dal
regolamento governativo di cui al comma 6 e dalle pubbliche amministrazioni ai sensi del comma 2 del
presente articolo;
b) nei procedimenti tributari, per i quali restano ferme le particolari norme che li regolano;
c) nei confronti dell'attività della pubblica amministrazione diretta all'emanazione di atti normativi,
amministrativi generali, di pianificazione e di programmazione, per i quali restano ferme le particolari
norme che ne regolano la formazione;
d) nei procedimenti selettivi, nei confronti dei documenti amministrativi contenenti informazioni di
carattere psico-attitudinale relativi a terzi.
2. Le singole pubbliche amministrazioni individuano le categorie di documenti da esse formati o comunque
rientranti nella loro disponibilità sottratti all'accesso ai sensi del comma 1.
3. Non sono ammissibili istanze di accesso preordinate ad un controllo generalizzato dell'operato delle
pubbliche amministrazioni.
4. L'accesso ai documenti amministrativi non può essere negato ove sia sufficiente fare ricorso al potere di
differimento.
5. I documenti contenenti informazioni connesse agli interessi di cui al comma 1 sono considerati segreti
solo nell'ambito e nei limiti di tale connessione. A tale fine le pubbliche amministrazioni fissano, per ogni
categoria di documenti, anche l'eventuale periodo di tempo per il quale essi sono sottratti all'accesso.
6. Con regolamento, adottato ai sensi dell'articolo 17, comma 2, della legge 23 agosto 1988, n. 400, il
Governo può prevedere casi di sottrazione all'accesso di documenti amministrativi:
a) quando, al di fuori delle ipotesi disciplinate dall'articolo 12 della legge 24 ottobre 1977, n. 801, dalla loro
divulgazione possa derivare una lesione, specifica e individuata, alla sicurezza e alla difesa nazionale,
all'esercizio della sovranità nazionale e alla continuità e alla correttezza delle relazioni internazionali, con
particolare riferimento alle ipotesi previste dai trattati e dalle relative leggi di attuazione;
b) quando l'accesso possa arrecare pregiudizio ai processi di formazione, di determinazione e di attuazione
della politica monetaria e valutaria;
c) quando i documenti riguardino le strutture, i mezzi, le dotazioni, il personale e le azioni strettamente
strumentali alla tutela dell'ordine pubblico, alla prevenzione e alla repressione della criminalità con
particolare riferimento alle tecniche investigative, alla identità delle fonti di informazione e alla sicurezza
dei beni e delle persone coinvolte, all'attività di polizia giudiziaria e di conduzione delle indagini;
d) quando i documenti riguardino la vita privata o la riservatezza di persone fisiche, persone giuridiche,
gruppi, imprese e associazioni, con particolare riferimento agli interessi epistolare, sanitario, professionale,
finanziario, industriale e commerciale di cui siano in concreto titolari, ancorché i relativi dati siano forniti
all'amministrazione dagli stessi soggetti cui si riferiscono;
e) quando i documenti riguardino l'attività in corso di contrattazione collettiva nazionale di lavoro e gli atti
interni connessi all'espletamento del relativo mandato.
7. Deve comunque essere garantito ai richiedenti l'accesso ai documenti amministrativi la cui conoscenza
sia necessaria per curare o per difendere i propri interessi giuridici. Nel caso di documenti contenenti dati
sensibili e giudiziari, l'accesso è consentito nei limiti in cui sia strettamente indispensabile e nei termini
previsti dall'articolo 60 del decreto legislativo 30 giugno 2003, n. 196, in caso di dati idonei a rivelare lo
stato di salute e la vita sessuale"
25,Modalità di esercizio del diritto di accesso e ricorsi,"1. Il diritto di accesso si esercita mediante esame ed estrazione di copia dei documenti amministrativi, nei
modi e con i limiti indicati dalla presente legge. L’esame dei documenti è gratuito. Il rilascio di copia è
subordinato soltanto al rimborso del costo di riproduzione, salve le disposizioni vigenti in materia di bollo,
nonché i diritti di ricerca e di visura.
2. La richiesta di accesso ai documenti deve essere motivata. Essa deve essere rivolta all’amministrazione
che ha formato il documento o che lo detiene stabilmente.
3. Il rifiuto, il differimento e la limitazione dell’accesso sono ammessi nei casi e nei limiti stabiliti
dall’articolo 24 e debbono essere motivati.
4. Decorsi inutilmente trenta giorni dalla richiesta, questa si intende respinta. In caso di diniego
dell'accesso, espresso o tacito, o di differimento dello stesso ai sensi dell'articolo 24, comma 4, il
richiedente può presentare ricorso al tribunale amministrativo regionale ai sensi del comma 5, ovvero
chiedere, nello stesso termine e nei confronti degli atti delle amministrazioni comunali, provinciali e
regionali, al difensore civico competente per ambito territoriale, ove costituito, che sia riesaminata la
suddetta determinazione. Qualora tale organo non sia stato istituito, la competenza è attribuita al
difensore civico competente per l'ambito territoriale immediatamente superiore. Nei confronti degli atti
delle amministrazioni centrali e periferiche dello Stato tale richiesta è inoltrata presso la Commissione per
l'accesso di cui all'articolo 27 nonché presso l’amministrazione resistente. Il difensore civico o la
Commissione per l'accesso si pronunciano entro trenta giorni dalla presentazione dell'istanza. Scaduto
infruttuosamente tale termine, il ricorso si intende respinto. Se il difensore civico o la Commissione per
l'accesso ritengono illegittimo il diniego o il differimento, ne informano il richiedente e lo comunicano
all'autorità disponente. Se questa non emana il provvedimento confermativo motivato entro trenta giorni
dal ricevimento della comunicazione del difensore civico o della Commissione, l'accesso è consentito.
Qualora il richiedente l'accesso si sia rivolto al difensore civico o alla Commissione, il termine di cui al
comma 5 decorre dalla data di ricevimento, da parte del richiedente, dell'esito della sua istanza al difensore
civico o alla Commissione stessa. Se l'accesso è negato o differito per motivi inerenti ai dati personali che si
riferiscono a soggetti terzi, la Commissione provvede, sentito il Garante per la protezione dei dati personali,
il quale si pronuncia entro il termine di dieci giorni dalla richiesta, decorso inutilmente il quale il parere si
intende reso. Qualora un procedimento di cui alla sezione III del capo I del titolo I della parte III del decreto
legislativo 30 giugno 2003, n. 196, o di cui agli articoli 154, 157, 158, 159 e 160 del medesimo decreto
legislativo n. 196 del 2003, relativo al trattamento pubblico di dati personali da parte di una pubblica
amministrazione, interessi l'accesso ai documenti amministrativi, il Garante per la protezione dei dati
personali chiede il parere, obbligatorio e non vincolante, della Commissione per l'accesso ai documenti
amministrativi. La richiesta di parere sospende il termine per la pronuncia del Garante sino all'acquisizione
del parere, e comunque per non oltre quindici giorni. Decorso inutilmente detto termine, il Garante adotta
la propria decisione.
(comma così sostituito dall'art. 17, comma 1, lettera a), legge n. 15 del 2005, poi così modificato dall'art. 8,
comma 1, legge n. 69 del 2009)
5. Le controversie relative all'accesso ai documenti amministrativi sono disciplinate dal codice del processo
amministrativo.
(comma così sostituito dall'Allegato 4, art. 3, comma 2, d.lgs. n. 104 del 2010)
5-bis.(comma abrogato dall'Allegato 4, art. 4, del d.lgs. n. 104 del 2010)
6. (comma abrogato dall'Allegato 4, art. 4, del d.lgs. n. 104 del 2010)"
26,Obbligo di pubblicazione,"1. (comma abrogato dall'art. 53, comma 1, d.lgs. n. 33 del 2013)
2. Sono altresì pubblicate, nelle forme predette, le relazioni annuali della Commissione di cui all’articolo 27
e, in generale, è data la massima pubblicità a tutte le disposizioni attuative della presente legge e a tutte le
iniziative dirette a precisare ed a rendere effettivo il diritto di accesso.
3. Con la pubblicazione di cui al comma 1, ove essa sia integrale, la libertà di accesso ai documenti indicati
nel predetto comma 1 s’intende realizzata."
